pair_id,label,filename_similarity,content_similarity,metadata_similarity,size_similarity,tfidf_similarity,embedding_similarity,sha256_match,overall_similarity,difficulty,geometric_cluster_id,is_labeled,uncertainty_score,difficulty_code
954,0,0.5714,0.3042,0.6361,0.2357,0.0151,0.0178,0.0,0.2346,Non-Duplicate,0,False,0.5,4
955,0,0.5238,0.4595,0.2142,0.9103,0.0223,0.0237,0.0,0.245,Non-Duplicate,2,False,0.5,4
956,1,0.9057,1.0,1.0,1.0,0.9503,0.9713,0.0,0.9724,Easy,1,False,0.5,0
957,0,0.3478,0.3115,0.3475,0.0127,0.0142,0.013,0.0,0.1847,Non-Duplicate,0,False,0.5,4
958,0,0.4878,0.4476,0.2918,0.8761,0.0151,0.0147,0.0,0.2413,Non-Duplicate,2,False,0.5,4
959,1,0.8511,1.0,0.7667,1.0,0.9713,0.971,0.0,0.9488,Medium,1,False,0.5,1
960,0,0.4615,0.3351,0.611,0.2877,0.0192,0.0212,0.0,0.2336,Non-Duplicate,0,False,0.5,4
961,1,0.9231,1.0,1.0,1.0,0.9505,0.9537,0.0,0.9707,Easy,1,False,0.5,0
962,0,0.44,0.3839,0.3954,0.0203,0.0499,0.0616,0.0,0.2427,Non-Duplicate,0,False,0.5,4
963,0,0.5,0.4052,0.2082,0.9449,0.0053,0.0074,0.0,0.2154,Non-Duplicate,2,False,0.5,4
964,1,0.8727,1.0,1.0,1.0,0.9643,0.9671,0.0,0.9718,Easy,1,False,0.5,0
965,0,0.5128,0.3601,0.3836,0.3796,0.0239,0.0227,0.0,0.2262,Non-Duplicate,0,False,0.5,4
966,0,0.5366,0.4028,0.1744,0.3489,0.0231,0.025,0.0,0.2229,Non-Duplicate,0,False,0.5,4
967,0,0.95,0.636,0.3954,0.797,0.2234,0.2257,0.0,0.4581,Non-Duplicate,2,False,0.5,4
968,0,0.5128,0.359,0.1968,0.3293,0.0228,0.0245,0.0,0.2072,Non-Duplicate,0,False,0.5,4
969,1,0.8889,0.9739,0.7667,1.0,0.9738,0.9728,0.0,0.9444,Medium,1,False,0.5,1
970,1,0.9268,0.9924,1.0,1.0,0.9772,0.9834,0.0,0.981,Easy,1,False,0.5,0
971,1,0.7451,0.9956,0.6667,1.0,0.9641,0.9684,0.0,0.9243,Hard,3,False,0.5,2
972,1,0.8837,0.9821,0.9178,1.0,0.9698,0.9833,0.0,0.963,Easy,1,False,0.5,0
973,0,0.4878,0.4151,0.4196,0.4001,0.0176,0.0175,0.0,0.2439,Non-Duplicate,0,False,0.5,4
974,1,0.8772,1.0,0.4333,1.0,0.9484,0.9583,0.0,0.9098,Hard,3,False,0.5,2
975,0,0.439,0.4685,0.3434,0.9241,0.0269,0.0292,0.0,0.2548,Non-Duplicate,2,False,0.5,4
976,1,0.8837,1.0,0.9,1.0,0.995,0.9992,0.0,0.977,Easy,1,False,0.5,0
977,0,0.5641,0.2895,0.2041,0.2495,0.0173,0.0187,0.0,0.1862,Non-Duplicate,0,False,0.5,4
978,1,0.8936,1.0,0.4333,1.0,0.9716,0.997,0.0,0.925,Hard,3,False,0.5,2
979,0,0.95,0.7127,0.3068,0.9612,0.4062,0.4309,0.0,0.5628,Non-Duplicate,3,False,0.5,4
980,1,0.8511,1.0,0.7667,1.0,0.96,0.9626,0.0,0.9443,Medium,1,False,0.5,1
981,0,0.3793,0.3027,0.1781,0.0165,0.0485,0.0555,0.0,0.1849,Non-Duplicate,0,False,0.5,4
982,1,0.7547,0.9966,0.5584,1.0,0.975,0.9977,0.0,0.9234,Hard,3,False,0.5,2
983,1,0.9268,0.9974,1.0,1.0,0.9942,0.9995,0.0,0.9902,Easy,1,False,0.5,0
984,0,0.5405,0.4128,0.4292,0.3916,0.0215,0.0223,0.0,0.2513,Non-Duplicate,0,False,0.5,4
985,1,0.8837,0.982,0.4333,1.0,0.9546,0.9667,0.0,0.9074,Hard,3,False,0.5,2
986,0,0.4651,0.3645,0.5575,0.3027,0.0165,0.0167,0.0,0.2373,Non-Duplicate,0,False,0.5,4
987,1,0.8718,1.0,0.6667,1.0,0.9674,0.9719,0.0,0.9401,Medium,3,False,0.5,1
988,1,0.7308,0.997,0.6667,1.0,0.9739,0.9751,0.0,0.9272,Hard,3,False,0.5,2
989,0,0.95,0.7116,0.2379,0.7791,0.4004,0.4125,0.0,0.5505,Non-Duplicate,3,False,0.5,4
990,0,0.4082,0.2066,0.2498,0.0128,0.039,0.0398,0.0,0.1558,Non-Duplicate,0,False,0.5,4
991,0,0.5714,0.3862,0.242,0.348,0.0184,0.0203,0.0,0.2252,Non-Duplicate,0,False,0.5,4
